base_ym,foreign_visitors
201501,917054
201502,1050706
201503,1238144
201504,1384567
201505,1334212
201506,750925
201507,629737
201508,1069314
201509,1206764
201510,1383704
201511,1150074
201512,1116450
201601,1077431
201602,1126250
201603,1389399
201604,1469674
201605,1492680
201606,1554413
201607,1703495
201608,1664303
201609,1523928
201610,1587797
201611,1309055
201612,1343398
201701,1220695
201702,1252080
201703,1233640
201704,1075899
201705,977889
201706,991802
201707,1008671
201708,1103506
201709,1078653
201710,1165638
201711,1093217
201712,1134068
201801,956036
201802,1045415
201803,1366100
201804,1331709
201805,1238021
201806,1282093
201807,1254833
201808,1391727
201809,1278604
201810,1527832
201811,1350390
201812,1324119
201901,1104803
201902,1201802
201903,1535641
201904,1635066
201905,1485684
201906,1476218
201907,1448067
201908,1586299
201909,1459664
201910,1656195
201911,1456429
201912,1456888
202001,1272708
202002,685212
202003,83497
202004,29415
202005,30806
202006,36938
202007,61012
202008,68797
202009,65040
202010,61585
202011,61764
202012,62344
202101,58397
202102,65582
202103,74604
202104,70112
202105,74463
202106,77029
202107,83005
202108,97087
202109,89800
202110,92416
202111,94358
202112,90150
202201,81851
202202,99999
202203,96768
202204,127919
202205,175922
202206,227713
202207,263986
202208,310945
202209,337638
202210,476097
202211,459906
202212,539273
202301,434429
202302,479248
202303,800575
202304,888776
202305,867130
202306,960638
202307,1032188
202308,1089133
202309,1098034
202310,1229899
202311,1114990
202312,1036625
202401,880881
202402,1030244
202403,1491748
202404,1462797
202405,1418463
202406,1417274
202407,1408499
202408,1563221
202409,1464300
202410,1600263
202411,1361076
202412,1270863
202501,1117243
202502,1138408
202503,1614596
202504,1707113
202505,1629387
202506,1619220
202507,1733199
202508,1820332
202509,1702813
202510,1739020
202511,1596939
202512,1518292
202601,1265658
202602,1431472
202603,2045992
202604,2027860
202605,1945809
202606,1993128
202607,2093223
